Execution_time,Cpu,Uplink,Down,offload
0.000234,780,1,1.3,0
0.02,900,0.89,0.76,1
0.009,1320,0.99,1.01,1
0.09,1834,2,0.88,1
0.0054,1900,1.3,0.92,1
0.00005,666,2,1.1,0
0.00012,709,0.12,1.9,0
0.0067,1321,0.34,2,1
0.000078,1923,0.89,2,0
0.05,999,1.04,2,1
0.0087,1882,1.23,0.98,0
0.007,881,1.56,0.112,1
0.00007,881,1.98,0.98,0
0.0001,981,1.09,1.2,0
0.0078,881,0.98,0.76,1
0.07,1550,0.55,0.34,0
0.109,1920,1.23,0.223,1
0.00043,1923,0.43,1.2,0
0.03,1002,0.989,1.2,1
0.0022,1520,0.341,1.8,0
0.00672,1900,0.82,0.9,1
0.0089,1789,0.32,0.9,0
0.011,1340,0.155,2,0
0.081,1550,0.176,2,0
0.000007,709,1.55,2,0
0.0000034,890,1.76,1.89,0
0.03812,1890,1.7,1.2,0
0.099,1121,1.2,0.92,1
0.013,678,0.89,0.89,1
0.0026,789,1.2,1.9,1
0.00039,890,1.402,1.9,0
0.0062,990,0.42,1.9,0
0.00093,1200,0.78,0.99,0
0.00088,800,2,1.5,0
0.00621,600,1,0.9,1
0.0111,1480,0.5,1.3,0
0.008998,1323,0.8,1.2,0
0.005,1665,0.9,0.87,0
0.002,1238,1.34,1.2,1
0.006,1876,0.99,0.98,1
0.009121,1987,0.97,1.09,0
0.01234,1034,1.4,1.78,1
0.00432,965,1.8,0.81,1
0.00882,834,1.9,0.91,1
0.0261,712,0.78,1.9,1
0.01101,978,0.88,0.87,0
0.0011,679,0.98,1.09,0
0.07,20000,1.7,1.5,0
0.00086,1600,1.87,2,0
0.002,881,1.2,0.8,1
